Entity Information,Initial Filing Date,Status,Entity Type,Formed In,Agent
"FENESTRATION TESTING LABORATORIES, INC. (1913359)",09/12/1994,Active,Stock Corporation - CA - General,CALIFORNIA,MICHEL CRUZ
"FINAL TEST HOME INSPECTION, LLC (202204310719)",02/10/2022,Active,Limited Liability Company - CA,CALIFORNIA,
"FINAL TEST SOLUTIONS, INC. (2723062)",01/10/2005,Active,Stock Corporation - CA - General,CALIFORNIA,MINH NGUYEN
"FINAL TEST, INC. (3793922)",06/02/2015,Active,Stock Corporation - CA - General,CALIFORNIA,VERONICA ROMERO
"FIRE INSTRUCTOR TESTING SOFTWARE, L.L.C. (199918310018)",06/28/1999,Active,Limited Liability Company - CA,CALIFORNIA,MATTHEW D. MULDOON
"FIRE PUMP TESTING & SALES, INC. (2094399)",10/01/1998,Active,Stock Corporation - CA - General,CALIFORNIA,KENNETH R PEARCE
FIREFIGHTER CANDIDATE TESTING CENTER (3666827),04/15/2014,Active,Stock Corporation - CA - General,CALIFORNIA,YVONNE DE LA PENA
FIRST CHOICE DRUG TESTING LLC (202113710802),05/12/2021,Active,Limited Liability Company - CA,CALIFORNIA,ESTELLA RIVERA
"FLIGHT TEST AEROSPACE, INC. (3671372)",04/29/2014,Active,Stock Corporation - Out of State - Stock,DELAWARE,STEPHEN ALAN O'BRIEN
FLIGHT TEST HISTORICAL FOUNDATION (1146729),07/11/1983,Active,Nonprofit Corporation - CA - Public Benefit,CALIFORNIA,WANDA KILLIAN
"FOCUS & TESTING, INC. (1919853)",01/03/1995,Active,Stock Corporation - CA - General,CALIFORNIA,WILLIAM BILKISS
FOOD TESTING KITCHEN LLC (202200710739),01/05/2022,Active,Limited Liability Company - CA,CALIFORNIA,HAN TEK YONG
"FOOTHILL SMOG TEST ONLY, INC. (3127911)",08/20/2008,Active,Stock Corporation - CA - General,CALIFORNIA,KYUNG IM LEE
FORENSIC DRUG TESTING SERVICES (3768942),03/20/2015,Active,Stock Corporation - CA - General,CALIFORNIA,KEVIN VICENTE ODENBAUGH
FORMA INSPECTIONS & TESTING INC. (4644921),09/23/2020,Active,Stock Corporation - CA - General,CALIFORNIA,"LEGALINC REGISTERED AGENTS, INC."
"FOSTER ASSESSMENT CENTER AND TESTING SERVICES, INC. (2399475)",05/31/2002,Active,Stock Corporation - CA - General,CALIFORNIA,ANDREA FOSTER
"FOUNTAIN VALLEY TESTING SERVICES, INC. (3067572)",11/02/2007,Active,Stock Corporation - CA - General,CALIFORNIA,JULIAN CHOU
"FREMONT TESTING SERVICES, INC. (2983340)",03/13/2007,Active,Stock Corporation - CA - General,CALIFORNIA,JULIAN CHOU
"FRESH TEST, LLC (201626310385)",09/14/2016,Active,Limited Liability Company - CA,CALIFORNIA,
G AND G SMOG TEST CENTER (2405570),02/15/2002,Active,Stock Corporation - CA - General,CALIFORNIA,GREGORY GEORGE LAPLANTE
G MEDICAL TESTS AND SERVICES INC. (4818510),12/07/2021,Active,Stock Corporation - Out of State - Stock,DELAWARE,"NORTHWEST REGISTERED AGENT, INC."
GATEWAY TEST PREP LLC (201832810188),11/20/2018,Active,Limited Liability Company - CA,CALIFORNIA,JOHN PATRICK NIEMAN
GED TESTING SERVICE LLC (201301610071),01/16/2013,Active,Limited Liability Company - Out of State,DELAWARE,
"GENERAL AVIATION TEST EQUIPMENT, INC. (2293890)",01/24/2003,Active,Stock Corporation - CA - General,CALIFORNIA,KENNETH FAINBERG
"GENERATIONS BACKFLOW TESTING, LLC (201527310241)",09/28/2015,Active,Limited Liability Company - CA,CALIFORNIA,ORVILLE EUGENE SPEARS
GENESIS TESTING LLC (202127810199),10/03/2021,Active,Limited Liability Company - CA,CALIFORNIA,PAUL HILLSON
"GENESYS TESTWARE, INC. (1952067)",11/01/1995,Active,Stock Corporation - CA - General,CALIFORNIA,BEJOY GEORGE OOMMAN
GENETIC TESTING LABORATORY LLC (202106010452),07/07/2015,Active,Limited Liability Company - CA,CALIFORNIA,
GENOMIC TESTING COOPERATIVE LCA (4169743),06/29/2018,Active,Stock Corporation - Out of State - Stock,COLORADO,MAHER ALBITAR
"GEOMAT TESTING LABORATORIES, INC. (2808914)",10/17/2005,Active,Stock Corporation - CA - General,CALIFORNIA,HAYTHAM MAHMOOD ALNABILSI
GET TESTED CA LLC (202128010124),10/05/2021,Active,Limited Liability Company - CA,CALIFORNIA,ARIEL MOSSAZADEH
"GIOVANNI TESTI, INC. (3928258)",07/18/2016,Active,Stock Corporation - CA - General,CALIFORNIA,HAMID R VAGHAR
GLOBAL PASS RAPID TESTING LLC (202102211419),01/18/2021,Active,Limited Liability Company - CA,CALIFORNIA,MICHAEL BRANG
GLOBAL TEST SOLUTIONS LLC (200122810019),08/09/2001,Active,Limited Liability Company - CA,CALIFORNIA,ARLENE F MEADOWS
"GLOBAL TEST SUPPLY, LLC (202201210473)",01/01/2022,Active,Limited Liability Company - Out of State,DELAWARE,
GLOBAL VARIANT TESTING CO LLC (202203310334),01/31/2022,Active,Limited Liability Company - CA,CALIFORNIA,
GNANUA TEST ONLY (3403533),08/24/2011,Active,Stock Corporation - CA - General,CALIFORNIA,GURVINDER SINGH
GO LAB TESTING LLC (202203110469),01/28/2022,Active,Limited Liability Company - CA,CALIFORNIA,PORSHIA MURRAY
GOLD COUNTRY RADON TESTING LLC (202114410351),05/19/2021,Active,Limited Liability Company - CA,CALIFORNIA,MATTHEW SCOTT KELLY
"GOLDEN GATE SECTION OF THE AMERICAN SOCIETY FOR NONDESTRUCTIVE TESTING, INC. (3528564)",12/14/2012,Active,Nonprofit Corporation - CA - Mutual Benefit,CALIFORNIA,DAVID ARMS
GOLDEN GATE SMOG TEST ONLY (2793643),11/09/2006,Active,Stock Corporation - CA - General,CALIFORNIA,ZIQIANG HE
"GORDON SMOG TEST & REPAIR CENTER, INC. (3568152)",05/09/2013,Active,Stock Corporation - CA - General,CALIFORNIA,GORDON CHEN
GRACE INSPECTION AND TESTING INC. (4656823),10/22/2020,Active,Stock Corporation - CA - General,CALIFORNIA,WAHBA ISAAC
"GREATER NEW TESTAMENT CATHEDRAL, INC. (551510)",08/19/1968,Active,Nonprofit Corporation - CA - Religious,CALIFORNIA,VICTORIA MARIE DOOLITTLE
GREEN BUILDING TEST & BALANCE CO. (3701161),08/11/2014,Active,Stock Corporation - CA - General,CALIFORNIA,PATRICK DRAYTON
"GREENLIGHT RESEARCH AND TESTING LABORATORY, LLC (201806410274)",02/16/2018,Active,Limited Liability Company - CA,CALIFORNIA,NORMAN JOHN HOFFMAN
"GREGG DRILLING & TESTING, INC. (1330655)",02/05/1985,Active,Stock Corporation - CA - General,CALIFORNIA,JOHN M GREGG
"GS TESTEQUIPMENT, INC. (3392406)",06/24/2011,Active,Stock Corporation - CA - General,CALIFORNIA,GREG SHLAEN
"GSI TESTING & INSPECTIONS, INC. (3010829)",07/27/2007,Active,Stock Corporation - CA - General,CALIFORNIA,ROBERT SCHULZE
"GXP COMPLIANCE AND TESTING, INC. (2700012)",02/24/2005,Active,Stock Corporation - CA - General,CALIFORNIA,BARBARA A FRANTZ
"H & H TESTING, INC. (3594748)",05/04/2011,Active,Stock Corporation - CA - General,CALIFORNIA,JEREMY KANE STANTON
HAMILTON TESTING SERVICES INC. (4610426),07/06/2020,Active,Stock Corporation - CA - General,CALIFORNIA,RICHARD L. BOYER
HAMMER INSPECTION & TESTING LLC (202134310329),12/07/2021,Active,Limited Liability Company - CA,CALIFORNIA,
"HAMMERED BY TESTA, LLC (201513310171)",05/11/2015,Active,Limited Liability Company - CA,CALIFORNIA,STEVEN TESTA
"HARBOR TESTING LABORATORY, INC. (2785942)",10/20/2005,Active,Stock Corporation - CA - General,CALIFORNIA,PAUL WEBSTER
"HART HIGH-VOLTAGE APPARATUS REPAIR AND TESTING CO., INC. (2062763)",12/09/1997,Active,Stock Corporation - CA - General,CALIFORNIA,JAMES MICHAEL WOLFGRAM
HC MATERIALS TESTING & INSPECTION LLC (202001710194),01/02/2020,Active,Limited Liability Company - CA,CALIFORNIA,LISA CORONA
"HCM CLOUD TESTING SERVICES, INC. (4217581)",12/05/2018,Active,Stock Corporation - CA - General,CALIFORNIA,RAMESH SELVARAJ
"HEALTHWAY CAL TEST MEDICAL LABORATORY, INC. (1792917)",10/28/1996,Active,Stock Corporation - CA - General,CALIFORNIA,JENNY YANG
"HELEN TESTER HOMES, INC. (1926169)",01/17/1995,Active,Nonprofit Corporation - CA - Public Benefit,CALIFORNIA,KIRK D MANN
"HELIUM LEAK TESTING, INC. (757532)",10/31/1975,Active,Stock Corporation - CA - General,CALIFORNIA,MICHAEL ALDEN MARKEL
"HEPADNAVIRUS TESTING, INC. (2069926)",02/18/1998,Active,Stock Corporation - CA - General,CALIFORNIA,PATRICIA LAY MARION
HERITAGE ENVIRONMENTAL TESTING & BUILDING SOLUTIONS LLC (201930510108),10/30/2019,Active,Limited Liability Company - CA,CALIFORNIA,ARA MARGARYAN
HIDATSA TESTING CORP (3882672),03/07/2016,Active,Stock Corporation - CA - General,CALIFORNIA,FRANK COLBERT
HIGH DESERT TEST SITES (3456434),02/17/2012,Active,Nonprofit Corporation - CA - Public Benefit,CALIFORNIA,DAVID KNAUS
"HIGH PERFORMANCE TEST, INC. (2060756)",11/14/1997,Active,Stock Corporation - CA - General,CALIFORNIA,JASDEEP DHALIWAL
High Stakes Testing Film (5019045),04/12/2022,Active,Stock Corporation - CA - General,CALIFORNIA,Dennis Spencer
"HIGH TEST, INC. (4685292)",12/31/2020,Active,Stock Corporation - CA - General,CALIFORNIA,NATALIE E HILL
"HIGH TEST, LLC (201629210127)",10/11/2016,Active,Limited Liability Company - Out of State,NEW YORK,JOSEPH BAXLEY
"HIGH VOLTAGE TESTING, INC. (2551068)",09/12/2003,Active,Stock Corporation - CA - General,CALIFORNIA,JIM WOLFGRAM
HLC COVID TESTING MANAGEMENT LLC (202135410163),12/16/2021,Active,Limited Liability Company - CA,CALIFORNIA,SHAWN BOLOUR
HOLLYWOOD COVID TESTING LLC (202018510151),07/01/2020,Active,Limited Liability Company - CA,CALIFORNIA,
HORIZON INSPECTION & TESTING INC (4208504),10/29/2018,Active,Stock Corporation - CA - General,CALIFORNIA,LUTHER BARGE
HYDRA TEST USA (4549712),01/06/2020,Active,Stock Corporation - CA - General,CALIFORNIA,REFAT ABODIA
HYUNDAI CERTIFICATION & TEST AMERICA LLC (201200510196),01/04/2012,Active,Limited Liability Company - CA,CALIFORNIA,KENT KIM
I TEST COVID INC. (4639667),09/14/2020,Active,Stock Corporation - CA - General,CALIFORNIA,SEAN MADDOCKS
"IAPMO RESEARCH AND TESTING, INC. (1915276)",10/24/1994,Active,Nonprofit Corporation - CA - Mutual Benefit,CALIFORNIA,MONTE H. BOGATZ
"IAPMO TESTING AND SERVICES, LLC (199915910069)",06/04/1999,Active,Limited Liability Company - Out of State,DELAWARE,KEN WIJAYA
"IGLESIA DE DIOS NEO TESTAMENTARIA EN ORDEN DIVINO, PUERTA DEL CIELO (1732487)",10/06/1993,Active,Nonprofit Corporation - CA - Religious,CALIFORNIA,MARIA VICTORIA LARA
IK TESTING LLC (202203410312),01/25/2022,Active,Limited Liability Company - Out of State,ILLINOIS,
"IMAGINEERING DESIGN, FABRICATION, TESTING (IDFT) LLC (202101310603)",01/09/2021,Active,Limited Liability Company - CA,CALIFORNIA,STEVEN H HICKEY
IMGAS LAB & TESTING LLC (202022010505),08/05/2020,Active,Limited Liability Company - CA,CALIFORNIA,DAVID TUNG
"IMPACT HEALTH BIOMETRIC TESTING, INC. (2875594)",04/03/2006,Active,Stock Corporation - Out of State - Stock,PENNSYLVANIA,COGENCY GLOBAL INC.
IN & OUT SMOG TEST SA (4693327),01/27/2021,Active,Stock Corporation - CA - General,CALIFORNIA,TAC DO
"IN AND GO TEST ONLY, LLC (200503410025)",12/27/2004,Active,Limited Liability Company - CA,CALIFORNIA,JOSE WENCESLAO RIVERA
INDEPENDENT DIAGNOSTIC TESTS INC (3411188),09/08/2011,Active,Stock Corporation - CA - General,CALIFORNIA,FRED SUFFICOOL
"INDEPENDENT FLOOR TESTING & INSPECTION, INC. (2000446)",01/31/1997,Active,Stock Corporation - CA - General,CALIFORNIA,LEE ELISEIAN
"INDEPENDENT TESTING LABORATORIES, INC. (956125)",04/07/1980,Active,Stock Corporation - CA - General,CALIFORNIA,DWIGHT MANSFIELD
"INDUSTRIAL TESTS, INC. (2011843)",05/23/1997,Active,Stock Corporation - CA - General,CALIFORNIA,GREG POOLE
"INFOCUS TEST PREP, INC. (3933797)",08/05/2016,Active,Stock Corporation - CA - General,CALIFORNIA,BARRY PETERS
"INNOVATIVE ELECTRICAL TESTING AND CONSTRUCTION, LLC (201523910256)",08/24/2015,Active,Limited Liability Company - Out of State,PENNSYLVANIA,
"INSPEC TESTING, INC. (2293243)",01/01/2003,Active,Stock Corporation - CA - General,CALIFORNIA,WILLIAM H SAULS
INSTITUTE FOR VASCULAR TESTING INCORPORATED (3486865),06/21/2012,Active,Stock Corporation - CA - General,CALIFORNIA,POLYXENE KOKINOS
"INTEGRATED CHIP TESTING, INC. (3078327)",03/04/2008,Active,Stock Corporation - CA - General,CALIFORNIA,"JAVDAN LAW GROUP, A PROFESSIONAL CORPORATION"
"INTERNATIONAL FLIGHT TEST INSTITUTE, INC. (3431714)",12/07/2011,Active,Stock Corporation - CA - General,CALIFORNIA,KIRK TRACEY
INTERNATIONAL TEST INSTRUMENTS CORPORATION (3382991),05/18/2011,Active,Stock Corporation - CA - General,CALIFORNIA,JOHN GULBRANDSON
INTERNATIONAL TESTWARE CORPORATION (2132258),01/15/1999,Active,Stock Corporation - CA - General,CALIFORNIA,ANDREW HUY LA
"INTERTEK TESTING SERVICES, NA, INC. (760600)",12/29/1975,Active,Stock Corporation - Out of State - Stock,NEW YORK,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
"IRRI-CARE PLUMBING AND BACKFLOW TESTING, INC. (3648402)",02/18/2014,Active,Stock Corporation - CA - General,CALIFORNIA,PHILLIP LAWRENCE SALVADOR
J & A DRUG TESTING INC (4690344),01/20/2021,Active,Stock Corporation - CA - General,CALIFORNIA,ROXANNA BERNAL
J&J TESTING ASSOCIATES LLC (202114810167),05/26/2021,Active,Limited Liability Company - CA,CALIFORNIA,JOHN E. TIEDT JHUSK@TIEDTLAW.COM
"JACKSON ELECTRICAL TESTING SERVICES, LLC (200813410040)",05/13/2008,Active,Limited Liability Company - CA,CALIFORNIA,MARK JACKSON
JAMIE TESTA LLC (202202610521),01/23/2022,Active,Limited Liability Company - CA,CALIFORNIA,JAMIE TESTA
JB TEST ONLY CORPORATION (4303435),07/31/2019,Active,Stock Corporation - CA - General,CALIFORNIA,JOCELYN RAYAN HALL
"JB TESTING GROUP, A CALIFORNIA CORPORATION (1767706)",07/31/1995,Active,Stock Corporation - CA - General,CALIFORNIA,JACK W JACKSON
"JDS TANK TESTING & REPAIR, INC. (2865013)",01/20/2006,Active,Stock Corporation - CA - General,CALIFORNIA,SHIRLEY AMIRA
JEN TEST 12345 (4575945),03/25/2020,Active,Stock Corporation - CA - General,CALIFORNIA,JEN TEST
JMS TEST SOLUTIONS LLC (201927310512),09/25/2019,Active,Limited Liability Company - CA,CALIFORNIA,
"JOINT CONCEPT MAINTENANCE & TESTING, L.L.C. (201629810171)",10/17/2016,Active,Limited Liability Company - CA,CALIFORNIA,TIMOTHY CHARLES WALLER
JST DRUG TESTING INC (4201628),10/05/2018,Active,Stock Corporation - CA - General,CALIFORNIA,PRIYANKA TUMBER
JULIA O TEST CO LLC (202121510605),07/31/2021,Active,Limited Liability Company - CA,CALIFORNIA,JULIA O TEST
JUPITER FLIGHT TEST LLC (201915110218),05/25/2019,Active,Limited Liability Company - CA,CALIFORNIA,
JUST VISITING COVID TESTING LLC (202134810641),12/11/2021,Active,Limited Liability Company - CA,CALIFORNIA,KYRA JACKSON
K M TEST ONLY SMOG CHECK INC (3546864),02/14/2013,Active,Stock Corporation - CA - General,CALIFORNIA,JAMES PATTEN
K.D. INSPECTION & TESTING INC. (2298008),08/25/2003,Active,Stock Corporation - CA - General,CALIFORNIA,MATT KREPELIN
KADES HEALTHY PRODUCTS AND TESTING LLC (201826410638),09/17/2018,Active,Limited Liability Company - CA,CALIFORNIA,JOSHUA KADING
